2239: lpj_guess taskset -c 124-127
2240: lpj_guess taskset -c 0-3
2226: lpj_guess taskset -c 72-75
2039: oifs taskset -c 92-95
2037: oifs taskset -c 84-87
2021: oifs taskset -c 20-23
2016: oifs taskset -c 0-3
2022: oifs taskset -c 24-27
2020: oifs taskset -c 16-19
2029: oifs taskset -c 52-55
2040: oifs taskset -c 96-99
2019: oifs taskset -c 12-15
2035: oifs taskset -c 76-79
2018: oifs taskset -c 8-11
2033: oifs taskset -c 68-71
2044: oifs taskset -c 112-115
2047: oifs taskset -c 124-127
2041: oifs taskset -c 100-103
2046: oifs taskset -c 120-123
2102: oifs taskset -c 88-91
2042: oifs taskset -c 104-107
2097: oifs taskset -c 68-71
2101: oifs taskset -c 84-87
2023: oifs taskset -c 28-31
2043: oifs taskset -c 108-111
2092: oifs taskset -c 48-51
2045: oifs taskset -c 116-119
2103: oifs taskset -c 92-95
2110: oifs taskset -c 120-123
2111: oifs taskset -c 124-127
2082: oifs taskset -c 8-11
2100: oifs taskset -c 80-83
2098: oifs taskset -c 72-75
2099: oifs taskset -c 76-79
2096: oifs taskset -c 64-67
2081: oifs taskset -c 4-7
2083: oifs taskset -c 12-15
2084: oifs taskset -c 16-19
2087: oifs taskset -c 28-31
2080: oifs taskset -c 0-3
2088: oifs taskset -c 32-35
2089: oifs taskset -c 36-39
2085: oifs taskset -c 20-23
2086: oifs taskset -c 24-27
2091: oifs taskset -c 44-47
2090: oifs taskset -c 40-43
2093: oifs taskset -c 52-55
2094: oifs taskset -c 56-59
2095: oifs taskset -c 60-63
2104: oifs taskset -c 96-99
2105: oifs taskset -c 100-103
2106: oifs taskset -c 104-107
2107: oifs taskset -c 108-111
2108: oifs taskset -c 112-115
2109: oifs taskset -c 116-119
2006: oifs taskset -c 88-91
2004: oifs taskset -c 80-83
2001: oifs taskset -c 68-71
2003: oifs taskset -c 76-79
2002: oifs taskset -c 72-75
2000: oifs taskset -c 64-67
1992: oifs taskset -c 32-35
1999: oifs taskset -c 60-63
1994: oifs taskset -c 40-43
1997: oifs taskset -c 52-55
1998: oifs taskset -c 56-59
2005: oifs taskset -c 84-87
2007: oifs taskset -c 92-95
1984: oifs taskset -c 0-3
1985: oifs taskset -c 4-7
1986: oifs taskset -c 8-11
1987: oifs taskset -c 12-15
1988: oifs taskset -c 16-19
1989: oifs taskset -c 20-23
1990: oifs taskset -c 24-27
1991: oifs taskset -c 28-31
1993: oifs taskset -c 36-39
1995: oifs taskset -c 44-47
1996: oifs taskset -c 48-51
2008: oifs taskset -c 96-99
2009: oifs taskset -c 100-103
2010: oifs taskset -c 104-107
2011: oifs taskset -c 108-111
2012: oifs taskset -c 112-115
2013: oifs taskset -c 116-119
2014: oifs taskset -c 120-123
2015: oifs taskset -c 124-127
2112: oifs taskset -c 0-3
2115: oifs taskset -c 12-15
2118: oifs taskset -c 24-27
2124: oifs taskset -c 48-51
2113: oifs taskset -c 4-7
2123: oifs taskset -c 44-47
2140: oifs taskset -c 112-115
2125: oifs taskset -c 52-55
2120: oifs taskset -c 32-35
2121: oifs taskset -c 36-39
2122: oifs taskset -c 40-43
2127: oifs taskset -c 60-63
2126: oifs taskset -c 56-59
2143: oifs taskset -c 124-127
2142: oifs taskset -c 120-123
2135: oifs taskset -c 92-95
2134: oifs taskset -c 88-91
2131: oifs taskset -c 76-79
2132: oifs taskset -c 80-83
2139: oifs taskset -c 108-111
2114: oifs taskset -c 8-11
2133: oifs taskset -c 84-87
2117: oifs taskset -c 20-23
2141: oifs taskset -c 116-119
2116: oifs taskset -c 16-19
2129: oifs taskset -c 68-71
2128: oifs taskset -c 64-67
2119: oifs taskset -c 28-31
2137: oifs taskset -c 100-103
2130: oifs taskset -c 72-75
2138: oifs taskset -c 104-107
2136: oifs taskset -c 96-99
2150: oifs taskset -c 24-27
2152: oifs taskset -c 32-35
2153: oifs taskset -c 36-39
2154: oifs taskset -c 40-43
2159: oifs taskset -c 60-63
2157: oifs taskset -c 52-55
2148: oifs taskset -c 16-19
2165: oifs taskset -c 84-87
2160: oifs taskset -c 64-67
2161: oifs taskset -c 68-71
2164: oifs taskset -c 80-83
